Pts
0-0
15-0
15-15
30-15
30-30
30-40
0-0
15-0
30-0
40-0
0-0
0-15
0-30
0-40
15-40
0-0
15-0
30-0
40-0
40-15
0-0
15-0
30-0
30-15
30-30
40-30
0-0
15-0
30-0
40-0
0-0
15-0
30-0
40-0
0-0
15-0
15-15
30-15
40-15
0-0
15-0
30-0
40-0
40-15
0-0
15-0
15-15
15-30
15-40
30-40
40-40
AD-40
0-0
15-0
15-15
30-15
40-15
40-30
40-40
40-AD
40-40
AD-40
40-40
AD-40
40-40
AD-40
40-40
AD-40
0-0
15-0
15-15
30-15
40-15
0-0
0-15
15-15
15-30
30-30
30-40
40-40
AD-40
0-0
15-0
30-0
40-0
0-0
15-0
15-15
30-15
40-15
0-0
0-15
15-15
30-15
30-30
40-30
0-0
0-15
15-15
30-15
30-30
30-40
40-40
AD-40
0-0
0-15
15-15
15-30
30-30
30-40
40-40
AD-40
0-0
15-0
30-0
40-0
0-0
15-0
30-0
40-0
0-0
15-0
30-0
40-0
40-15
0-0
15-0
15-15
15-30
30-30
40-30
0-0
0-15
15-15
30-15
30-30
40-30
0-0
15-0
30-0
30-15
40-15
0-0
15-0
15-15
30-15
40-15
40-30
0-0
0-15
0-30
0-40
15-40
0-0
0-15
15-15
30-15
40-15
40-30
0-0
15-0
30-0
40-0
0-0
15-0
30-0
40-0
0-0
15-0
30-0
30-15
30-30
30-40
0-0
15-0
30-0
40-0
40-15
0-0
15-0
15-15
15-30
30-30
30-40
40-40
AD-40
0-0
15-0
30-0
40-0
0-0
15-0
30-0
30-15
40-15
0-0
0-15
0-30
0-40
0-0
15-0
15-15
30-15
30-30
30-40
40-40
AD-40
0-0
0-15
0-30
15-30
15-40
30-40
40-40
AD-40
40-40
AD-40
40-40
40-AD
0-0
15-0
30-0
40-0
0-0
15-0
30-0
30-15
30-30
40-30
40-40
40-AD
40-40
40-AD
40-40
AD-40
0-0
15-0
15-15
15-30
30-30
40-30
40-40
40-AD
0-0
0-15
15-15
30-15
30-30
40-30
40-40
AD-40
0-0
15-0
30-0
40-0
0-0
15-0
30-0
40-0
0-0
0-15
0-30
15-30
15-40
0-0
15-0
30-0
40-0
